level,dataset,condition,n,median,Q1,Q3,IQR,whisker_min,whisker_max
per_dataset,FengQ_2015,control,48,3.3292,2.8655,3.6605,0.795,1.864,4.1603
per_dataset,FengQ_2015,CRC,37,3.4964,3.0465,3.7597,0.7132,1.9781,4.2055
per_dataset,HanniganGD_2017,control,22,3.0705,2.6414,3.2688,0.6274,1.7323,3.8078
per_dataset,HanniganGD_2017,CRC,22,3.1251,2.7272,3.2784,0.5512,2.3426,3.562
per_dataset,ThomasAM_2019_a,control,19,2.9602,2.3581,3.231,0.873,1.901,3.7781
per_dataset,ThomasAM_2019_a,CRC,23,3.2591,2.4409,3.4871,1.0462,2.0534,3.8899
per_dataset,ThomasAM_2019_b,control,22,3.5362,3.3052,3.721,0.4157,2.7621,3.9952
per_dataset,ThomasAM_2019_b,CRC,26,3.7095,3.5366,3.9296,0.393,3.1908,4.2397
per_dataset,ThomasAM_2019_c,control,32,3.0765,2.6298,3.2681,0.6383,1.9376,3.9673
per_dataset,ThomasAM_2019_c,CRC,32,3.346,3.0437,3.6857,0.642,2.4076,4.1855
per_dataset,VogtmannE_2016,control,41,3.3335,2.8582,3.5821,0.7239,1.7977,4.1068
per_dataset,VogtmannE_2016,CRC,42,3.3611,3.0752,3.7394,0.6642,2.4045,4.2335
per_dataset,WirbelJ_2018,control,52,3.3568,3.1397,3.5127,0.373,2.581,4.0477
per_dataset,WirbelJ_2018,CRC,48,3.4193,3.156,3.7057,0.5497,2.7784,4.1205
per_dataset,YuJ_2015,control,42,3.3583,2.8536,3.6664,0.8128,1.8154,4.3119
per_dataset,YuJ_2015,CRC,60,3.2937,2.9408,3.7156,0.7748,1.7799,4.2628
per_dataset,ZellerG_2014,control,49,3.5885,3.2906,3.8103,0.5198,2.8483,4.2344
per_dataset,ZellerG_2014,CRC,42,3.5806,3.2996,3.8113,0.5116,2.7129,4.2567
all_datasets,ALL,control,327,3.3258,2.9505,3.625,0.6745,1.994,4.3119
all_datasets,ALL,CRC,332,3.44,3.0474,3.7253,0.6779,2.0534,4.2628
