level,dataset,condition,n,median,Q1,Q3,IQR,whisker_min,whisker_max
per_dataset,FengQ_2015,control,48,4.0718,3.5471,4.358,0.8109,3.0221,5.1163
per_dataset,FengQ_2015,CRC,37,4.2341,3.6407,4.7083,1.0676,2.3757,5.0688
per_dataset,HanniganGD_2017,control,22,3.5432,3.2849,4.004,0.7192,2.8897,4.471
per_dataset,HanniganGD_2017,CRC,22,3.6955,3.1925,3.8806,0.6881,2.5413,4.2481
per_dataset,ThomasAM_2019_a,control,19,3.769,3.2327,4.1064,0.8737,2.0709,4.5987
per_dataset,ThomasAM_2019_a,CRC,23,3.9199,3.227,4.3849,1.1579,2.2732,4.9424
per_dataset,ThomasAM_2019_b,control,22,4.367,4.1586,4.6218,0.4632,3.7895,5.0117
per_dataset,ThomasAM_2019_b,CRC,26,4.5275,4.3532,4.7627,0.4095,4.0023,5.1148
per_dataset,ThomasAM_2019_c,control,32,3.9738,3.7569,4.3141,0.5572,3.0789,4.8747
per_dataset,ThomasAM_2019_c,CRC,32,4.3566,4.0542,4.6723,0.6181,3.3085,5.0909
per_dataset,VogtmannE_2016,control,41,4.3995,4.0308,4.5864,0.5556,3.3855,5.0363
per_dataset,VogtmannE_2016,CRC,42,4.4353,3.9774,4.7446,0.7672,3.046,5.1008
per_dataset,WirbelJ_2018,control,52,4.1844,3.7275,4.4004,0.6729,2.7474,4.8628
per_dataset,WirbelJ_2018,CRC,48,4.3597,3.8874,4.546,0.6585,2.973,5.2184
per_dataset,YuJ_2015,control,42,4.2847,3.8106,4.6316,0.821,2.8786,5.1776
per_dataset,YuJ_2015,CRC,60,4.2026,3.7597,4.6326,0.8729,2.8039,5.4098
per_dataset,ZellerG_2014,control,49,4.5252,4.213,4.8473,0.6344,3.9136,5.3143
per_dataset,ZellerG_2014,CRC,42,4.4869,4.1097,4.7291,0.6193,3.351,5.5084
all_datasets,ALL,control,327,4.2048,3.7539,4.5337,0.7798,2.7001,5.3143
all_datasets,ALL,CRC,332,4.3205,3.8145,4.6619,0.8474,2.5556,5.5084
