taxon,n_cohorts,n_sig_cohorts,pooled_lfc,pooled_se,ci_lb,ci_ub,tau2,Q,Q_pval,I2,p_value,heterogeneity,q_value
Peptostreptococcus,9,5,6.0945,0.8589,4.4111,7.7779,3.898851,20.0878,0.01,60.17,0.0,moderate,0.0
Faecalibacterium,9,5,-1.1056,0.175,-1.4486,-0.7626,0.0,7.5477,0.4789,0.0,0.0,negligible,0.0
Porphyromonas,9,4,4.5203,0.6502,3.246,5.7946,1.382861,12.7133,0.1221,37.07,0.0,low,0.0
Anaerostipes,9,2,-1.8846,0.4066,-2.6814,-1.0877,0.0,6.6392,0.576,0.0,4e-06,negligible,4e-05
Roseburia,9,4,-0.8861,0.2015,-1.281,-0.4911,0.03818,8.9271,0.3485,10.38,1.1e-05,negligible,8.8e-05
Ruminococcus,9,5,-1.3872,0.3259,-2.026,-0.7484,0.251454,11.2678,0.187,29.0,2.1e-05,low,0.00012
Bifidobacterium,9,4,-1.6308,0.3822,-2.38,-0.8817,0.0,6.6751,0.5721,0.0,2e-05,negligible,0.00012
Subdoligranulum,9,5,-0.6222,0.157,-0.9299,-0.3145,0.032893,9.4039,0.3094,14.93,7.4e-05,negligible,0.00037
Eubacterium,9,4,-1.217,0.3207,-1.8456,-0.5884,0.442755,17.8736,0.0222,55.24,0.000148,moderate,0.000658
Veillonella,9,2,-1.8512,0.508,-2.8468,-0.8556,0.0,7.3513,0.4992,0.0,0.000268,negligible,0.001072
Gordonibacter,9,4,-2.0901,0.6195,-3.3044,-0.8759,0.256851,8.6406,0.3735,7.41,0.000741,negligible,0.002695
Lachnospiraceae_noname,9,3,-0.8317,0.2935,-1.4069,-0.2565,0.463991,23.2441,0.0031,65.58,0.004597,moderate,0.015323
Dorea,9,4,-0.868,0.3197,-1.4946,-0.2413,0.458462,19.5346,0.0122,59.05,0.006632,moderate,0.020406
Bacteroides,9,4,-0.5835,0.2195,-1.0137,-0.1532,0.149147,12.7496,0.1208,37.25,0.007858,low,0.022451
Adlercreutzia,9,4,-1.6135,0.6133,-2.8156,-0.4113,0.0,3.5706,0.8936,0.0,0.008521,negligible,0.022723
Escherichia,9,3,1.5747,0.6192,0.361,2.7884,1.44223,14.714,0.065,45.63,0.010992,low,0.02748
Coprococcus,9,4,-1.1044,0.4592,-2.0045,-0.2044,0.317654,9.6294,0.292,16.92,0.016166,negligible,0.035924
Clostridium,9,4,0.8358,0.3473,0.155,1.5165,0.281364,11.0503,0.1989,27.6,0.016114,low,0.035924
Rothia,9,3,-1.8534,0.8257,-3.4717,-0.235,2.506038,13.7569,0.0883,41.85,0.02479,low,0.051818
Streptococcus,9,5,-1.1346,0.5094,-2.133,-0.1363,1.64154,41.8673,0.0,80.89,0.025909,high,0.051818
Paraprevotella,9,1,1.3225,0.6916,-0.033,2.6781,0.305916,8.6077,0.3765,7.06,0.055844,negligible,0.10637
Coprobacillus,9,3,1.5155,0.8585,-0.1671,3.1981,2.522614,13.0947,0.1086,38.91,0.077508,low,0.140924
Collinsella,9,3,-0.9006,0.5208,-1.9213,0.1201,0.0,4.2557,0.8333,0.0,0.083748,negligible,0.144686
Akkermansia,9,0,1.1244,0.6641,-0.1772,2.426,0.0,1.8223,0.986,0.0,0.090429,negligible,0.144686
Prevotella,9,2,2.3757,1.4017,-0.3717,5.123,13.416011,37.2547,0.0,78.53,0.090113,high,0.144686
Blautia,9,3,-0.3803,0.3474,-1.0612,0.3005,0.820043,38.2517,0.0,79.09,0.273544,high,0.418081
Bacteroidales_noname,9,2,-0.9365,0.8709,-2.6435,0.7704,3.398263,16.1979,0.0396,50.61,0.282205,moderate,0.418081
Holdemania,9,2,0.686,0.699,-0.684,2.056,1.833731,14.1025,0.0791,43.27,0.326401,low,0.435201
Alistipes,9,1,-0.2411,0.2382,-0.708,0.2257,0.0,7.9298,0.4404,0.0,0.311407,negligible,0.435201
Bilophila,9,2,0.5486,0.5486,-0.5268,1.6239,0.375832,9.2909,0.3184,13.89,0.317376,negligible,0.435201
Odoribacter,9,1,0.4992,0.5482,-0.5752,1.5735,0.0,7.0093,0.5356,0.0,0.362493,negligible,0.467733
Oscillibacter,9,0,-0.1978,0.3537,-0.8911,0.4954,0.227181,10.1279,0.2562,21.01,0.575925,negligible,0.719906
Lactobacillus,9,2,-0.3695,0.7513,-1.8421,1.1031,1.202562,10.5115,0.2309,23.89,0.622827,negligible,0.754942
Eggerthella,9,1,-0.2559,0.6209,-1.4729,0.961,0.585467,9.6382,0.2913,17.0,0.680214,negligible,0.777387
Dialister,9,1,0.4155,0.9485,-1.4435,2.2746,3.035988,12.975,0.1127,38.34,0.661321,low,0.777387
Parabacteroides,9,2,0.117,0.3135,-0.4974,0.7315,0.0,2.977,0.9358,0.0,0.708866,negligible,0.787629
Peptostreptococcaceae_noname,9,2,0.0457,0.6668,-1.2613,1.3526,0.894812,10.3347,0.2423,22.59,0.945384,negligible,0.954608
Erysipelotrichaceae_noname,9,1,0.0451,0.5492,-1.0314,1.1216,1.251349,16.7794,0.0325,52.32,0.934571,moderate,0.954608
Barnesiella,9,1,-0.108,0.9923,-2.0528,1.8369,4.954698,18.6936,0.0166,57.2,0.913347,moderate,0.954608
Actinomyces,9,1,-0.0388,0.6811,-1.3738,1.2963,1.342656,11.933,0.1542,32.96,0.954608,low,0.954608
