taxon,lfc,se,t_stat,p_ols,p_val,wilcoxon_p,auroc,gfc,n_ctrl,n_crc,q_val,significant,direction
Adlercreutzia,-1.556,0.6148,-2.5308,0.011614464618742158,0.001,0.001,0.40472900777421617,-1.8451,327,332,0.0025,True,depleted_CRC
Anaerostipes,-1.5666,0.4498,-3.4829,0.0005293235853596284,0.001,0.001,0.3974245606278324,-0.9137,327,332,0.0025,True,depleted_CRC
Coprococcus,-0.9101,0.4777,-1.9054,0.05717379310929596,0.001,0.001,0.39556390700416344,-0.5715,327,332,0.0025,True,depleted_CRC
Bifidobacterium,-1.1274,0.4491,-2.5105,0.012298952580809758,0.001,0.001,0.40680151799859987,-0.5985,327,332,0.0025,True,depleted_CRC
Eubacterium,-1.3113,0.256,-5.1228,3.973999653258782e-07,0.001,0.001,0.3407298920452452,-0.7924,327,332,0.0025,True,depleted_CRC
Faecalibacterium,-1.1877,0.2249,-5.2798,1.766359329703526e-07,0.001,0.001,0.36073652407796325,-0.7613,327,332,0.0025,True,depleted_CRC
Gordonibacter,-2.0698,0.6023,-3.4367,0.0006264744830464978,0.001,0.001,0.397442982940938,-2.1058,327,332,0.0025,True,depleted_CRC
Dorea,-0.981,0.2604,-3.7671,0.00018017672327813513,0.001,0.001,0.4073081316090048,-0.1026,327,332,0.0025,True,depleted_CRC
Lachnospiraceae_noname,-0.7746,0.1837,-4.2176,2.8208000579231035e-05,0.001,0.001,0.4127335028186139,-0.0251,327,332,0.0025,True,depleted_CRC
Peptostreptococcus,6.3275,0.5475,11.558,3.1513643716790496e-28,0.001,0.001,0.706412807192071,8.5141,327,332,0.0025,True,enriched_CRC
Streptococcus,-0.9129,0.2885,-3.1641,0.0016283592262734986,0.001,0.001,0.38331306878891713,-0.6197,327,332,0.0025,True,depleted_CRC
Subdoligranulum,-0.5578,0.1558,-3.5799,0.00036936954543872845,0.001,0.001,0.4121716222688921,-0.0052,327,332,0.0025,True,depleted_CRC
Ruminococcus,-1.4461,0.3728,-3.8793,0.00011545594643293484,0.001,0.001,0.37115434213919896,-0.9446,327,332,0.0025,True,depleted_CRC
Rothia,-1.8715,0.6228,-3.0049,0.0027589637377312343,0.001,0.001,0.41439151099812094,-0.5752,327,332,0.0025,True,depleted_CRC
Roseburia,-0.8181,0.2448,-3.3422,0.0008789847437486465,0.001,0.001,0.3969363693305331,-0.4687,327,332,0.0025,True,depleted_CRC
Porphyromonas,4.6307,0.5141,9.0076,2.3242660816217874e-18,0.001,0.001,0.61929368851553,6.1887,327,332,0.0025,True,enriched_CRC
Bacteroidales_noname,-1.0904,0.6246,-1.7458,0.08131577792904365,0.002,0.002,0.43254670056372274,-2.0689,327,332,0.004706,True,depleted_CRC
Veillonella,-1.6638,0.5293,-3.1431,0.0017478295335341116,0.003,0.003,0.42999521019859255,-1.6315,327,332,0.006316,True,depleted_CRC
Collinsella,-0.7347,0.5494,-1.3372,0.18162985399889445,0.003,0.003,0.43639696400280015,0.1038,327,332,0.006316,True,depleted_CRC
Prevotella,2.125,0.6816,3.1177,0.0019029770781645275,0.008,0.008,0.5708706385173723,3.329,327,332,0.016,True,enriched_CRC
Escherichia,1.4718,0.4803,3.0644,0.002271279268553409,0.021,0.021,0.5561327880328654,3.3052,327,332,0.04,True,enriched_CRC
Clostridium,1.0065,0.3339,3.0141,0.0026779908365045027,0.026,0.026,0.5572197045060978,1.6807,327,332,0.047273,True,enriched_CRC
Peptostreptococcaceae_noname,0.0186,0.6112,0.0304,0.9757241349837513,0.041,0.041,0.45538115765815557,1.3317,327,332,0.068333,False,enriched_CRC
Blautia,-0.3318,0.1653,-2.0076,0.04509585461885967,0.041,0.041,0.4564864964444936,0.4735,327,332,0.068333,False,depleted_CRC
Lactobacillus,-0.3152,0.6575,-0.4794,0.6317800618499401,0.069,0.069,0.4564957076010464,-0.2116,327,332,0.1104,False,depleted_CRC
Bacteroides,-0.5047,0.2285,-2.2087,0.027545305721661088,0.072,0.072,0.4563114844699901,0.3528,327,332,0.110769,False,depleted_CRC
Oscillibacter,-0.2175,0.378,-0.5754,0.5651942483533798,0.142,0.142,0.4678899082568807,0.7061,327,332,0.21037,False,depleted_CRC
Coprobacillus,1.527,0.6782,2.2514,0.02469217096784831,0.213,0.213,0.5277347923805313,2.6131,327,332,0.304286,False,enriched_CRC
Erysipelotrichaceae_noname,0.1803,0.433,0.4164,0.6772808921304021,0.221,0.221,0.4725783869422645,1.7165,327,332,0.304828,False,enriched_CRC
Barnesiella,0.132,0.6479,0.2037,0.8386518425078615,0.235,0.235,0.4710124903282856,0.2107,327,332,0.313333,False,enriched_CRC
Alistipes,0.0585,0.3643,0.1605,0.8725574177161306,0.268,0.268,0.47524041118602856,0.7383,327,332,0.335,False,enriched_CRC
Eggerthella,-0.0384,0.5778,-0.0665,0.9470026068293309,0.266,0.266,0.47505618805497224,0.2053,327,332,0.335,False,depleted_CRC
Parabacteroides,0.1323,0.3702,0.3572,0.7210317302295215,0.479,0.479,0.4817158542426587,0.7808,327,332,0.580606,False,enriched_CRC
Dialister,0.3692,0.7386,0.4999,0.6173270921510723,0.508,0.508,0.4847002689657713,0.1453,327,332,0.597647,False,enriched_CRC
Holdemania,0.5202,0.5338,0.9745,0.3301822603021425,0.603,0.603,0.48757414981025027,0.6576,327,332,0.661622,False,enriched_CRC
Akkermansia,1.0124,0.6765,1.4965,0.13499884483392705,0.612,0.612,0.5119376588924505,2.2589,327,332,0.661622,False,enriched_CRC
Odoribacter,0.4459,0.6005,0.7426,0.45797627457668355,0.603,0.603,0.48911241295457053,0.4755,327,332,0.661622,False,enriched_CRC
Bilophila,0.6396,0.5162,1.2389,0.2158259876553321,0.655,0.655,0.5144891492575808,2.2411,327,332,0.682051,False,enriched_CRC
Paraprevotella,1.1275,0.6866,1.6421,0.1010517327264664,0.665,0.665,0.5091374673003942,2.0436,327,332,0.682051,False,enriched_CRC
Actinomyces,0.2624,0.5765,0.4552,0.6490962334849224,0.872,0.872,0.4962050035002395,0.5071,327,332,0.872,False,enriched_CRC
