taxon,n_cohorts,n_sig_cohorts,pooled_lfc,pooled_se,ci_lb,ci_ub,tau2,Q,Q_pval,I2,p_value,heterogeneity,q_value
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_asaccharolytica,9,4,3.9386,0.6968,2.5729,5.3042,2.301461,17.5356,0.025,54.38,0.0,moderate,0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_57FAA_CT1,9,2,3.111,0.5939,1.947,4.2751,0.0,7.4737,0.4865,0.0,0.0,negligible,0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis,9,1,3.0793,0.679,1.7484,4.4101,0.0,6.3931,0.6033,0.0,6e-06,negligible,0.000174
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus,9,2,-1.9093,0.4722,-2.8349,-0.9837,0.0,6.5541,0.5854,0.0,5.3e-05,negligible,0.001153
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA,9,1,-1.7058,0.4286,-2.5459,-0.8657,0.0,7.0439,0.5319,0.0,6.9e-05,negligible,0.00116
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis,9,3,-2.6089,0.6613,-3.9051,-1.3126,0.0,6.7695,0.5617,0.0,8e-05,negligible,0.00116
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens,9,2,-1.8045,0.5627,-2.9074,-0.7017,0.0,5.1871,0.7374,0.0,0.001341,negligible,0.014583
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius,9,4,-2.1585,0.6714,-3.4744,-0.8427,2.531007,26.9277,0.0007,70.29,0.001304,moderate,0.014583
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii,9,3,-0.8098,0.2617,-1.3228,-0.2969,0.262336,15.491,0.0503,48.36,0.001972,low,0.019063
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_bolteae,9,2,2.5163,0.8401,0.8697,4.163,3.134542,16.6391,0.0341,51.92,0.002742,moderate,0.023855
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae,9,1,-1.7831,0.6141,-2.9866,-0.5795,0.0,7.153,0.5202,0.0,0.003688,negligible,0.026738
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa,9,2,-1.9021,0.6511,-3.1783,-0.6259,0.204123,8.4482,0.391,5.31,0.003486,negligible,0.026738
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_57FAA,9,2,2.1351,0.7825,0.6015,3.6688,2.458345,14.7707,0.0638,45.84,0.006359,low,0.04089
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli,9,1,2.2797,0.8389,0.6354,3.9239,3.082446,17.1386,0.0287,53.32,0.00658,moderate,0.04089
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_unclassified,9,0,-1.3918,0.5292,-2.4289,-0.3546,0.0,3.7781,0.8766,0.0,0.008534,negligible,0.049497
