taxon,lfc,se,t_stat,p_ols,p_val,wilcoxon_p,auroc,gfc,n_ctrl,n_crc,q_val,significant,direction
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis,3.1068,0.7013,4.4304,1.1041124964194915e-05,0.001,0.001,0.594359087727055,3.4786,327,332,0.006214,True,enriched_CRC
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae,-1.743,0.6204,-2.8094,0.0051125551010932765,0.001,0.001,0.4259515124719059,-2.1339,327,332,0.006214,True,depleted_CRC
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_asaccharolytica,4.152,0.475,8.7408,1.969957111152606e-17,0.001,0.001,0.6282745661545264,4.0655,327,332,0.006214,True,enriched_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale,-1.5011,0.4732,-3.1723,0.0015838356576082732,0.001,0.001,0.4106978372204414,-2.6078,327,332,0.006214,True,depleted_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens,-1.8882,0.5779,-3.2672,0.0011432879896348554,0.001,0.001,0.3917228547216388,-1.5837,327,332,0.006214,True,depleted_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_hallii,-1.0563,0.4363,-2.4212,0.015742432119747483,0.001,0.001,0.40934379720717734,-0.9053,327,332,0.006214,True,depleted_CRC
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius,-2.1595,0.3949,-5.468,6.501535788545672e-08,0.001,0.001,0.38296304483991006,-2.8696,327,332,0.006214,True,depleted_CRC
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus,-1.8158,0.6022,-3.0153,0.0026670859095910032,0.001,0.001,0.41345197302973363,-4.1929,327,332,0.006214,True,depleted_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_5_1_63FAA,-1.5154,0.4465,-3.3942,0.000730330136998208,0.001,0.001,0.4077686894366457,-2.1014,327,332,0.006214,True,depleted_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_3_1_57FAA_CT1,3.0443,0.6002,5.0724,5.132860588312922e-07,0.001,0.001,0.6011016543237169,3.01,327,332,0.006214,True,enriched_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus,-1.7081,0.5019,-3.4035,0.0007063366827644358,0.001,0.001,0.4110662834825541,-2.3304,327,332,0.006214,True,depleted_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis,-2.662,0.6701,-3.9725,7.909299809072208e-05,0.001,0.001,0.3967521461994768,-3.158,327,332,0.006214,True,depleted_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii,-0.8439,0.2317,-3.6412,0.0002929687173347014,0.001,0.001,0.4034210235437161,-0.7925,327,332,0.006214,True,depleted_CRC
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli,2.221,0.5964,3.7238,0.00021332060940861504,0.001,0.001,0.5863453815261044,3.4735,327,332,0.006214,True,enriched_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Coprococcus|s__Coprococcus_comes,-1.1954,0.5644,-2.118,0.034558695502157004,0.002,0.002,0.41489812460852593,-2.36,327,332,0.009667,True,depleted_CRC
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa,-1.8894,0.6336,-2.9821,0.0029696350059358625,0.002,0.002,0.42870564828119817,-1.8419,327,332,0.009667,True,depleted_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_noname|s__Lachnospiraceae_bacterium_8_1_57FAA,-1.7653,0.6273,-2.8141,0.005039990433092227,0.002,0.002,0.4267620942485539,-2.3788,327,332,0.009667,True,depleted_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_bolteae,2.653,0.5949,4.4593,9.6895974473939e-06,0.002,0.002,0.5898087763899635,2.938,327,332,0.009667,True,enriched_CRC
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis,-0.9916,0.531,-1.8673,0.06230375021071833,0.003,0.003,0.43775100401606426,-1.7733,327,332,0.011864,True,depleted_CRC
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens,-1.2053,0.617,-1.9536,0.051172195485660765,0.003,0.003,0.42905567223020524,-1.8467,327,332,0.011864,True,depleted_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_lactaris,-1.8284,0.692,-2.6422,0.008436075170688057,0.003,0.003,0.4280977119487123,-2.5443,327,332,0.011864,True,depleted_CRC
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,-0.8105,0.6038,-1.3422,0.18001478402374843,0.003,0.003,0.43940901219557127,-0.8766,327,332,0.011864,True,depleted_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Ruminococcus_obeum,-0.5576,0.221,-2.5231,0.011870070105488581,0.005,0.005,0.43884713164584943,-0.381,327,332,0.018913,True,depleted_CRC
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis,-1.9592,0.6364,-3.0786,0.0021676134944346027,0.007,0.007,0.4364430197855643,-1.8921,327,332,0.02436,True,depleted_CRC
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis,-1.5568,0.7053,-2.2073,0.02764517687617612,0.007,0.007,0.4458476106259902,-1.8201,327,332,0.02436,True,depleted_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis,-0.7219,0.5596,-1.2901,0.19748633186005266,0.009,0.009,0.4385431634796065,-0.395,327,332,0.030115,True,depleted_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ramulus,-1.0301,0.6284,-1.6393,0.10164029212365888,0.011,0.011,0.443093474816698,-1.9165,327,332,0.035444,True,depleted_CRC
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae,1.4282,0.6596,2.1652,0.030735692239054806,0.017,0.017,0.5560867322501013,2.6671,327,332,0.052821,False,enriched_CRC
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Veillonella|s__Veillonella_unclassified,-1.3505,0.5405,-2.4986,0.012714963025287062,0.018,0.018,0.4466489812460852,-0.4286,327,332,0.054,False,depleted_CRC
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus,-0.9434,0.4678,-2.0167,0.04413447294612697,0.02,0.02,0.4448804391879444,-0.4003,327,332,0.058,False,depleted_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum,-1.0195,0.6461,-1.5779,0.11507738954228494,0.021,0.021,0.4467226704985077,-0.6684,327,332,0.058935,False,depleted_CRC
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Subdoligranulum|s__Subdoligranulum_unclassified,-0.4053,0.1934,-2.0957,0.03649651962556062,0.023,0.023,0.4537784164179654,-0.0559,327,332,0.062531,False,depleted_CRC
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum,-1.7759,0.6818,-2.6048,0.0094025721800636,0.028,0.028,0.45032423271065913,-0.5134,327,332,0.073818,False,depleted_CRC
