rank,mean_auroc,std_auroc,params,param_path_smooth,param_num_leaves,param_n_estimators,param_min_child_samples,param_learning_rate,param_lambda_l2,param_lambda_l1,param_feature_fraction,param_extra_trees,param_bagging_fraction
1,0.7913132818983512,0.07509384523421829,"{'path_smooth': 0, 'num_leaves': 15, 'n_estimators': 1000, 'min_child_samples': 5, 'learning_rate': 0.01, 'lambda_l2': 0, 'lambda_l1': 0.1, 'feature_fraction': 0.6, 'extra_trees': False, 'bagging_fraction': 0.9}",0,15,1000,5,0.01,0.0,0.1,0.6,False,0.9
2,0.7913132818983512,0.07509384523421829,"{'path_smooth': 0, 'num_leaves': 15, 'n_estimators': 1000, 'min_child_samples': 5, 'learning_rate': 0.01, 'lambda_l2': 0, 'lambda_l1': 0.1, 'feature_fraction': 0.6, 'extra_trees': False, 'bagging_fraction': 0.7}",0,15,1000,5,0.01,0.0,0.1,0.6,False,0.7
3,0.7911377793491644,0.06948503107110818,"{'path_smooth': 0, 'num_leaves': 15, 'n_estimators': 2000, 'min_child_samples': 5, 'learning_rate': 0.01, 'lambda_l2': 0, 'lambda_l1': 0.1, 'feature_fraction': 0.6, 'extra_trees': False, 'bagging_fraction': 0.9}",0,15,2000,5,0.01,0.0,0.1,0.6,False,0.9
4,0.7911377793491644,0.06948503107110818,"{'path_smooth': 0, 'num_leaves': 15, 'n_estimators': 2000, 'min_child_samples': 5, 'learning_rate': 0.01, 'lambda_l2': 0, 'lambda_l1': 0.1, 'feature_fraction': 0.6, 'extra_trees': False, 'bagging_fraction': 0.7}",0,15,2000,5,0.01,0.0,0.1,0.6,False,0.7
5,0.7906607836450611,0.07406962477115225,"{'path_smooth': 1, 'num_leaves': 15, 'n_estimators': 2000, 'min_child_samples': 5, 'learning_rate': 0.01, 'lambda_l2': 0, 'lambda_l1': 0.1, 'feature_fraction': 0.6, 'extra_trees': False, 'bagging_fraction': 0.7}",1,15,2000,5,0.01,0.0,0.1,0.6,False,0.7
6,0.7905654951982299,0.06494522924555123,"{'path_smooth': 0, 'num_leaves': 31, 'n_estimators': 1000, 'min_child_samples': 20, 'learning_rate': 0.05, 'lambda_l2': 0, 'lambda_l1': 1, 'feature_fraction': 0.6, 'extra_trees': False, 'bagging_fraction': 0.9}",0,31,1000,20,0.05,0.0,1.0,0.6,False,0.9
7,0.7905654951982299,0.06494522924555123,"{'path_smooth': 0, 'num_leaves': 31, 'n_estimators': 2000, 'min_child_samples': 20, 'learning_rate': 0.05, 'lambda_l2': 0, 'lambda_l1': 1, 'feature_fraction': 0.6, 'extra_trees': False, 'bagging_fraction': 0.9}",0,31,2000,20,0.05,0.0,1.0,0.6,False,0.9
8,0.7905654951982299,0.06494522924555123,"{'path_smooth': 0, 'num_leaves': 63, 'n_estimators': 2000, 'min_child_samples': 20, 'learning_rate': 0.05, 'lambda_l2': 0, 'lambda_l1': 1, 'feature_fraction': 0.6, 'extra_trees': False, 'bagging_fraction': 0.9}",0,63,2000,20,0.05,0.0,1.0,0.6,False,0.9
9,0.7905654951982299,0.06494522924555123,"{'path_smooth': 0, 'num_leaves': 31, 'n_estimators': 2000, 'min_child_samples': 20, 'learning_rate': 0.05, 'lambda_l2': 0, 'lambda_l1': 1, 'feature_fraction': 0.6, 'extra_trees': False, 'bagging_fraction': 0.7}",0,31,2000,20,0.05,0.0,1.0,0.6,False,0.7
10,0.7905654951982299,0.06494522924555123,"{'path_smooth': 0, 'num_leaves': 31, 'n_estimators': 1000, 'min_child_samples': 20, 'learning_rate': 0.05, 'lambda_l2': 0, 'lambda_l1': 1, 'feature_fraction': 0.6, 'extra_trees': False, 'bagging_fraction': 0.7}",0,31,1000,20,0.05,0.0,1.0,0.6,False,0.7
11,0.7905654951982299,0.06494522924555123,"{'path_smooth': 0, 'num_leaves': 63, 'n_estimators': 1000, 'min_child_samples': 20, 'learning_rate': 0.05, 'lambda_l2': 0, 'lambda_l1': 1, 'feature_fraction': 0.6, 'extra_trees': False, 'bagging_fraction': 0.7}",0,63,1000,20,0.05,0.0,1.0,0.6,False,0.7
12,0.7905654951982299,0.06494522924555123,"{'path_smooth': 0, 'num_leaves': 63, 'n_estimators': 2000, 'min_child_samples': 20, 'learning_rate': 0.05, 'lambda_l2': 0, 'lambda_l1': 1, 'feature_fraction': 0.6, 'extra_trees': False, 'bagging_fraction': 0.7}",0,63,2000,20,0.05,0.0,1.0,0.6,False,0.7
13,0.7905654951982299,0.06494522924555123,"{'path_smooth': 0, 'num_leaves': 63, 'n_estimators': 1000, 'min_child_samples': 20, 'learning_rate': 0.05, 'lambda_l2': 0, 'lambda_l1': 1, 'feature_fraction': 0.6, 'extra_trees': False, 'bagging_fraction': 0.9}",0,63,1000,20,0.05,0.0,1.0,0.6,False,0.9
14,0.7900914327691806,0.061697321534941854,"{'path_smooth': 0, 'num_leaves': 15, 'n_estimators': 2000, 'min_child_samples': 5, 'learning_rate': 0.05, 'lambda_l2': 0, 'lambda_l1': 0.5, 'feature_fraction': 0.6, 'extra_trees': False, 'bagging_fraction': 0.7}",0,15,2000,5,0.05,0.0,0.5,0.6,False,0.7
15,0.7900914327691806,0.061697321534941854,"{'path_smooth': 0, 'num_leaves': 15, 'n_estimators': 1000, 'min_child_samples': 5, 'learning_rate': 0.05, 'lambda_l2': 0, 'lambda_l1': 0.5, 'feature_fraction': 0.6, 'extra_trees': False, 'bagging_fraction': 0.7}",0,15,1000,5,0.05,0.0,0.5,0.6,False,0.7
16,0.7900914327691806,0.061697321534941854,"{'path_smooth': 0, 'num_leaves': 15, 'n_estimators': 2000, 'min_child_samples': 5, 'learning_rate': 0.05, 'lambda_l2': 0, 'lambda_l1': 0.5, 'feature_fraction': 0.6, 'extra_trees': False, 'bagging_fraction': 0.9}",0,15,2000,5,0.05,0.0,0.5,0.6,False,0.9
17,0.7900914327691806,0.061697321534941854,"{'path_smooth': 0, 'num_leaves': 15, 'n_estimators': 1000, 'min_child_samples': 5, 'learning_rate': 0.05, 'lambda_l2': 0, 'lambda_l1': 0.5, 'feature_fraction': 0.6, 'extra_trees': False, 'bagging_fraction': 0.9}",0,15,1000,5,0.05,0.0,0.5,0.6,False,0.9
18,0.7896893844407441,0.07278813129591258,"{'path_smooth': 0, 'num_leaves': 15, 'n_estimators': 1000, 'min_child_samples': 10, 'learning_rate': 0.05, 'lambda_l2': 0, 'lambda_l1': 1, 'feature_fraction': 0.6, 'extra_trees': False, 'bagging_fraction': 0.9}",0,15,1000,10,0.05,0.0,1.0,0.6,False,0.9
19,0.7896893844407441,0.07278813129591258,"{'path_smooth': 0, 'num_leaves': 15, 'n_estimators': 2000, 'min_child_samples': 10, 'learning_rate': 0.05, 'lambda_l2': 0, 'lambda_l1': 1, 'feature_fraction': 0.6, 'extra_trees': False, 'bagging_fraction': 0.9}",0,15,2000,10,0.05,0.0,1.0,0.6,False,0.9
20,0.7896893844407441,0.07278813129591258,"{'path_smooth': 0, 'num_leaves': 15, 'n_estimators': 2000, 'min_child_samples': 10, 'learning_rate': 0.05, 'lambda_l2': 0, 'lambda_l1': 1, 'feature_fraction': 0.6, 'extra_trees': False, 'bagging_fraction': 0.7}",0,15,2000,10,0.05,0.0,1.0,0.6,False,0.7
21,0.7896893844407441,0.07278813129591258,"{'path_smooth': 0, 'num_leaves': 15, 'n_estimators': 1000, 'min_child_samples': 10, 'learning_rate': 0.05, 'lambda_l2': 0, 'lambda_l1': 1, 'feature_fraction': 0.6, 'extra_trees': False, 'bagging_fraction': 0.7}",0,15,1000,10,0.05,0.0,1.0,0.6,False,0.7
22,0.7896485603240736,0.06311060825613425,"{'path_smooth': 0, 'num_leaves': 15, 'n_estimators': 1000, 'min_child_samples': 10, 'learning_rate': 0.05, 'lambda_l2': 0, 'lambda_l1': 0.5, 'feature_fraction': 0.6, 'extra_trees': False, 'bagging_fraction': 0.7}",0,15,1000,10,0.05,0.0,0.5,0.6,False,0.7
23,0.7896485603240736,0.06311060825613425,"{'path_smooth': 0, 'num_leaves': 15, 'n_estimators': 2000, 'min_child_samples': 10, 'learning_rate': 0.05, 'lambda_l2': 0, 'lambda_l1': 0.5, 'feature_fraction': 0.6, 'extra_trees': False, 'bagging_fraction': 0.7}",0,15,2000,10,0.05,0.0,0.5,0.6,False,0.7
24,0.7896485603240736,0.06311060825613425,"{'path_smooth': 0, 'num_leaves': 15, 'n_estimators': 2000, 'min_child_samples': 10, 'learning_rate': 0.05, 'lambda_l2': 0, 'lambda_l1': 0.5, 'feature_fraction': 0.6, 'extra_trees': False, 'bagging_fraction': 0.9}",0,15,2000,10,0.05,0.0,0.5,0.6,False,0.9
25,0.7896485603240736,0.06311060825613425,"{'path_smooth': 0, 'num_leaves': 15, 'n_estimators': 1000, 'min_child_samples': 10, 'learning_rate': 0.05, 'lambda_l2': 0, 'lambda_l1': 0.5, 'feature_fraction': 0.6, 'extra_trees': False, 'bagging_fraction': 0.9}",0,15,1000,10,0.05,0.0,0.5,0.6,False,0.9
26,0.7894538867673145,0.07808011383355387,"{'path_smooth': 1, 'num_leaves': 15, 'n_estimators': 1000, 'min_child_samples': 5, 'learning_rate': 0.01, 'lambda_l2': 0, 'lambda_l1': 0.1, 'feature_fraction': 0.6, 'extra_trees': False, 'bagging_fraction': 0.9}",1,15,1000,5,0.01,0.0,0.1,0.6,False,0.9
27,0.7894538867673145,0.07808011383355387,"{'path_smooth': 1, 'num_leaves': 15, 'n_estimators': 1000, 'min_child_samples': 5, 'learning_rate': 0.01, 'lambda_l2': 0, 'lambda_l1': 0.1, 'feature_fraction': 0.6, 'extra_trees': False, 'bagging_fraction': 0.7}",1,15,1000,5,0.01,0.0,0.1,0.6,False,0.7
28,0.7892323255290887,0.06486289383860772,"{'path_smooth': 0, 'num_leaves': 15, 'n_estimators': 2000, 'min_child_samples': 5, 'learning_rate': 0.01, 'lambda_l2': 0.1, 'lambda_l1': 0.1, 'feature_fraction': 0.6, 'extra_trees': False, 'bagging_fraction': 0.9}",0,15,2000,5,0.01,0.1,0.1,0.6,False,0.9
29,0.7892323255290887,0.06486289383860772,"{'path_smooth': 0, 'num_leaves': 15, 'n_estimators': 2000, 'min_child_samples': 5, 'learning_rate': 0.01, 'lambda_l2': 0.1, 'lambda_l1': 0.1, 'feature_fraction': 0.6, 'extra_trees': False, 'bagging_fraction': 0.7}",0,15,2000,5,0.01,0.1,0.1,0.6,False,0.7
30,0.7888827749241746,0.06673533003517157,"{'path_smooth': 10, 'num_leaves': 31, 'n_estimators': 2000, 'min_child_samples': 10, 'learning_rate': 0.05, 'lambda_l2': 0.1, 'lambda_l1': 1, 'feature_fraction': 0.6, 'extra_trees': False, 'bagging_fraction': 0.7}",10,31,2000,10,0.05,0.1,1.0,0.6,False,0.7
31,0.7888827749241746,0.06673533003517157,"{'path_smooth': 10, 'num_leaves': 31, 'n_estimators': 1000, 'min_child_samples': 10, 'learning_rate': 0.05, 'lambda_l2': 0.1, 'lambda_l1': 1, 'feature_fraction': 0.6, 'extra_trees': False, 'bagging_fraction': 0.7}",10,31,1000,10,0.05,0.1,1.0,0.6,False,0.7
