scheme,split,cohort,n,TP,FN,FNR,AUROC
Train/Val,Val,FengQ_2015,11,3,2,0.4,0.5333
Train/Val,Val,HanniganGD_2017,13,3,3,0.5,0.5952
Train/Val,Val,ThomasAM_2019_a,6,0,2,1.0,0.25
Train/Val,Val,ThomasAM_2019_b,11,3,3,0.5,0.8
Train/Val,Val,ThomasAM_2019_c,10,5,2,0.2857,0.8571
Train/Val,Val,VogtmannE_2016,22,11,4,0.2667,0.8476
Train/Val,Val,WirbelJ_2018,18,3,3,0.5,0.75
Train/Val,Val,YuJ_2015,21,8,1,0.1111,0.8333
Train/Val,Val,ZellerG_2014,20,8,3,0.2727,0.9293
Train/Val,Val,DISPARITY (max−min),,,,0.8889,
Train/Val,Test,FengQ_2015,22,6,3,0.3333,0.8803
Train/Val,Test,HanniganGD_2017,11,1,4,0.8,0.2667
Train/Val,Test,ThomasAM_2019_a,11,5,1,0.1667,0.8333
Train/Val,Test,ThomasAM_2019_b,12,4,2,0.3333,0.8056
Train/Val,Test,ThomasAM_2019_c,16,5,3,0.375,0.4375
Train/Val,Test,VogtmannE_2016,21,9,1,0.1,0.8727
Train/Val,Test,WirbelJ_2018,25,7,5,0.4167,0.8205
Train/Val,Test,YuJ_2015,26,9,6,0.4,0.7758
Train/Val,Test,ZellerG_2014,23,9,2,0.1818,0.8182
Train/Val,Test,DISPARITY (max−min),,,,0.7,
5-Fold CV,OOF,FengQ_2015,85,25,12,0.3243,0.8024
5-Fold CV,OOF,HanniganGD_2017,44,9,13,0.5909,0.5145
5-Fold CV,OOF,ThomasAM_2019_a,42,20,3,0.1304,0.8124
5-Fold CV,OOF,ThomasAM_2019_b,48,10,16,0.6154,0.5839
5-Fold CV,OOF,ThomasAM_2019_c,64,18,14,0.4375,0.6836
5-Fold CV,OOF,VogtmannE_2016,83,32,10,0.2381,0.7555
5-Fold CV,OOF,WirbelJ_2018,100,32,16,0.3333,0.8397
5-Fold CV,OOF,YuJ_2015,102,43,17,0.2833,0.8266
5-Fold CV,OOF,ZellerG_2014,91,27,15,0.3571,0.7221
5-Fold CV,OOF,DISPARITY (max−min),,,,0.485,
5-Fold CV,Test,FengQ_2015,22,6,3,0.3333,0.8547
5-Fold CV,Test,HanniganGD_2017,11,1,4,0.8,0.3333
5-Fold CV,Test,ThomasAM_2019_a,11,4,2,0.3333,0.8
5-Fold CV,Test,ThomasAM_2019_b,12,4,2,0.3333,0.7778
5-Fold CV,Test,ThomasAM_2019_c,16,4,4,0.5,0.3906
5-Fold CV,Test,VogtmannE_2016,21,8,2,0.2,0.7818
5-Fold CV,Test,WirbelJ_2018,25,6,6,0.5,0.8462
5-Fold CV,Test,YuJ_2015,26,9,6,0.4,0.7152
5-Fold CV,Test,ZellerG_2014,23,9,2,0.1818,0.8333
5-Fold CV,Test,DISPARITY (max−min),,,,0.6182,
LODO,OOF,FengQ_2015,85,28,9,0.2432,0.772
LODO,OOF,HanniganGD_2017,44,6,16,0.7273,0.6012
LODO,OOF,ThomasAM_2019_a,42,23,0,0.0,0.7986
LODO,OOF,ThomasAM_2019_b,48,9,17,0.6538,0.6241
LODO,OOF,ThomasAM_2019_c,64,17,15,0.4688,0.6221
LODO,OOF,VogtmannE_2016,83,38,4,0.0952,0.8055
LODO,OOF,WirbelJ_2018,100,30,18,0.375,0.8365
LODO,OOF,YuJ_2015,102,29,31,0.5167,0.8179
LODO,OOF,ZellerG_2014,91,25,17,0.4048,0.6793
LODO,OOF,DISPARITY (max−min),,,,0.7273,
LODO,Test,FengQ_2015,22,6,3,0.3333,0.8632
LODO,Test,HanniganGD_2017,11,1,4,0.8,0.3333
LODO,Test,ThomasAM_2019_a,11,5,1,0.1667,0.8333
LODO,Test,ThomasAM_2019_b,12,3,3,0.5,0.7222
LODO,Test,ThomasAM_2019_c,16,3,5,0.625,0.3438
LODO,Test,VogtmannE_2016,21,8,2,0.2,0.8091
LODO,Test,WirbelJ_2018,25,7,5,0.4167,0.859
LODO,Test,YuJ_2015,26,9,6,0.4,0.7394
LODO,Test,ZellerG_2014,23,8,3,0.2727,0.8258
LODO,Test,DISPARITY (max−min),,,,0.6333,
