rank,mean_auroc,std_auroc,params,param_path_smooth,param_num_leaves,param_n_estimators,param_min_child_samples,param_learning_rate,param_lambda_l2,param_lambda_l1,param_feature_fraction,param_extra_trees,param_bagging_fraction
1,0.738196917244553,0.08987825090866677,"{'path_smooth': 10, 'num_leaves': 7, 'n_estimators': 500, 'min_child_samples': 30, 'learning_rate': 0.01, 'lambda_l2': 0, 'lambda_l1': 0, 'feature_fraction': 0.6, 'extra_trees': True, 'bagging_fraction': 0.7}",10,7,500,30,0.01,0.0,0.0,0.6,True,0.7
2,0.738196917244553,0.08987825090866677,"{'path_smooth': 10, 'num_leaves': 7, 'n_estimators': 500, 'min_child_samples': 30, 'learning_rate': 0.01, 'lambda_l2': 0, 'lambda_l1': 0, 'feature_fraction': 0.6, 'extra_trees': True, 'bagging_fraction': 0.9}",10,7,500,30,0.01,0.0,0.0,0.6,True,0.9
3,0.7361567420795186,0.08983221218398281,"{'path_smooth': 10, 'num_leaves': 7, 'n_estimators': 500, 'min_child_samples': 10, 'learning_rate': 0.01, 'lambda_l2': 0, 'lambda_l1': 1, 'feature_fraction': 0.4, 'extra_trees': True, 'bagging_fraction': 0.9}",10,7,500,10,0.01,0.0,1.0,0.4,True,0.9
4,0.7361567420795186,0.08983221218398281,"{'path_smooth': 10, 'num_leaves': 7, 'n_estimators': 500, 'min_child_samples': 10, 'learning_rate': 0.01, 'lambda_l2': 0, 'lambda_l1': 1, 'feature_fraction': 0.4, 'extra_trees': True, 'bagging_fraction': 0.7}",10,7,500,10,0.01,0.0,1.0,0.4,True,0.7
5,0.7351120042691797,0.09721411053443271,"{'path_smooth': 1, 'num_leaves': 7, 'n_estimators': 500, 'min_child_samples': 10, 'learning_rate': 0.01, 'lambda_l2': 0, 'lambda_l1': 1, 'feature_fraction': 0.6, 'extra_trees': True, 'bagging_fraction': 0.7}",1,7,500,10,0.01,0.0,1.0,0.6,True,0.7
6,0.7351120042691797,0.09721411053443271,"{'path_smooth': 1, 'num_leaves': 7, 'n_estimators': 500, 'min_child_samples': 10, 'learning_rate': 0.01, 'lambda_l2': 0, 'lambda_l1': 1, 'feature_fraction': 0.6, 'extra_trees': True, 'bagging_fraction': 0.9}",1,7,500,10,0.01,0.0,1.0,0.6,True,0.9
7,0.7346875813566469,0.09582392251217299,"{'path_smooth': 0, 'num_leaves': 31, 'n_estimators': 500, 'min_child_samples': 20, 'learning_rate': 0.01, 'lambda_l2': 0, 'lambda_l1': 1, 'feature_fraction': 0.6, 'extra_trees': True, 'bagging_fraction': 0.7}",0,31,500,20,0.01,0.0,1.0,0.6,True,0.7
8,0.7346875813566469,0.09582392251217299,"{'path_smooth': 0, 'num_leaves': 31, 'n_estimators': 500, 'min_child_samples': 20, 'learning_rate': 0.01, 'lambda_l2': 0, 'lambda_l1': 1, 'feature_fraction': 0.6, 'extra_trees': True, 'bagging_fraction': 0.9}",0,31,500,20,0.01,0.0,1.0,0.6,True,0.9
9,0.7346875813566469,0.09582392251217299,"{'path_smooth': 0, 'num_leaves': 63, 'n_estimators': 500, 'min_child_samples': 20, 'learning_rate': 0.01, 'lambda_l2': 0, 'lambda_l1': 1, 'feature_fraction': 0.6, 'extra_trees': True, 'bagging_fraction': 0.9}",0,63,500,20,0.01,0.0,1.0,0.6,True,0.9
10,0.7346875813566469,0.09582392251217299,"{'path_smooth': 0, 'num_leaves': 63, 'n_estimators': 500, 'min_child_samples': 20, 'learning_rate': 0.01, 'lambda_l2': 0, 'lambda_l1': 1, 'feature_fraction': 0.6, 'extra_trees': True, 'bagging_fraction': 0.7}",0,63,500,20,0.01,0.0,1.0,0.6,True,0.7
11,0.734677779938559,0.09561269811521507,"{'path_smooth': 0, 'num_leaves': 7, 'n_estimators': 500, 'min_child_samples': 20, 'learning_rate': 0.01, 'lambda_l2': 1, 'lambda_l1': 1, 'feature_fraction': 0.4, 'extra_trees': True, 'bagging_fraction': 0.9}",0,7,500,20,0.01,1.0,1.0,0.4,True,0.9
12,0.734677779938559,0.09561269811521507,"{'path_smooth': 0, 'num_leaves': 7, 'n_estimators': 500, 'min_child_samples': 20, 'learning_rate': 0.01, 'lambda_l2': 1, 'lambda_l1': 1, 'feature_fraction': 0.4, 'extra_trees': True, 'bagging_fraction': 0.7}",0,7,500,20,0.01,1.0,1.0,0.4,True,0.7
13,0.7343742353663854,0.09012787191716544,"{'path_smooth': 0, 'num_leaves': 7, 'n_estimators': 500, 'min_child_samples': 20, 'learning_rate': 0.01, 'lambda_l2': 0, 'lambda_l1': 0.5, 'feature_fraction': 0.4, 'extra_trees': True, 'bagging_fraction': 0.9}",0,7,500,20,0.01,0.0,0.5,0.4,True,0.9
14,0.7342154978584078,0.09320676696143591,"{'path_smooth': 10, 'num_leaves': 7, 'n_estimators': 500, 'min_child_samples': 5, 'learning_rate': 0.01, 'lambda_l2': 0.1, 'lambda_l1': 0.5, 'feature_fraction': 0.6, 'extra_trees': True, 'bagging_fraction': 0.9}",10,7,500,5,0.01,0.1,0.5,0.6,True,0.9
15,0.7341550096674067,0.08772649286593705,"{'path_smooth': 10, 'num_leaves': 7, 'n_estimators': 500, 'min_child_samples': 5, 'learning_rate': 0.01, 'lambda_l2': 0, 'lambda_l1': 0.5, 'feature_fraction': 0.4, 'extra_trees': True, 'bagging_fraction': 0.7}",10,7,500,5,0.01,0.0,0.5,0.4,True,0.7
16,0.7341550096674067,0.08772649286593705,"{'path_smooth': 10, 'num_leaves': 7, 'n_estimators': 500, 'min_child_samples': 5, 'learning_rate': 0.01, 'lambda_l2': 0, 'lambda_l1': 0.5, 'feature_fraction': 0.4, 'extra_trees': True, 'bagging_fraction': 0.9}",10,7,500,5,0.01,0.0,0.5,0.4,True,0.9
17,0.7341079425381621,0.09580778633859514,"{'path_smooth': 1, 'num_leaves': 63, 'n_estimators': 500, 'min_child_samples': 30, 'learning_rate': 0.01, 'lambda_l2': 1, 'lambda_l1': 1, 'feature_fraction': 0.6, 'extra_trees': True, 'bagging_fraction': 0.7}",1,63,500,30,0.01,1.0,1.0,0.6,True,0.7
18,0.7341079425381621,0.09580778633859514,"{'path_smooth': 1, 'num_leaves': 15, 'n_estimators': 500, 'min_child_samples': 30, 'learning_rate': 0.01, 'lambda_l2': 1, 'lambda_l1': 1, 'feature_fraction': 0.6, 'extra_trees': True, 'bagging_fraction': 0.7}",1,15,500,30,0.01,1.0,1.0,0.6,True,0.7
19,0.7341079425381621,0.09580778633859514,"{'path_smooth': 1, 'num_leaves': 31, 'n_estimators': 500, 'min_child_samples': 30, 'learning_rate': 0.01, 'lambda_l2': 1, 'lambda_l1': 1, 'feature_fraction': 0.6, 'extra_trees': True, 'bagging_fraction': 0.7}",1,31,500,30,0.01,1.0,1.0,0.6,True,0.7
20,0.7341079425381621,0.09580778633859514,"{'path_smooth': 1, 'num_leaves': 63, 'n_estimators': 500, 'min_child_samples': 30, 'learning_rate': 0.01, 'lambda_l2': 1, 'lambda_l1': 1, 'feature_fraction': 0.6, 'extra_trees': True, 'bagging_fraction': 0.9}",1,63,500,30,0.01,1.0,1.0,0.6,True,0.9
